排名,学校名称,省市,总分,指标得分
50,东北师范大学,吉林省,47.1,68.1
51,东华大学,上海市,47,68
52,福州大学,福建省,46.7,65.2
53,首都医科大学,北京市,46.5,72.2
53,兰州大学,甘肃省,46.5,70.7
55,江南大学,江苏省,46.3,68.5
56,合肥工业大学,安徽省,45.6,64.8
57,南京医科大学,江苏省,45.5,67.5
58,中国海洋大学,山东省,45.3,72.2
59,中国矿业大学,江苏省,45.2,65.8
60,暨南大学,广东省,44.6,71.7
61,西南大学,重庆市,44.4,64.3
62,南京农业大学,江苏省,44.3,63.6
62,河海大学,江苏省,44.3,70.5
64,哈尔滨工程大学,黑龙江省,44.2,71.8
65,华中农业大学,湖北省,44,64.8
66,中国药科大学,江苏省,43.7,69.5
67,西南交通大学,四川省,43.6,66.8
68,天津医科大学,天津市,43.3,73.7
69,西北农林科技大学,陕西省,42.8,64.9
69,南京师范大学,江苏省,42.8,62.7
71,西北大学,陕西省,42.5,68.2
72,江苏大学,江苏省,42.3,57.7
73,浙江工业大学,浙江省,42.1,62.9
74,北京林业大学,北京市,42,68.9
75,南京邮电大学,江苏省,41.9,61.9
75,南方医科大学,广东省,41.9,68.2
75,陕西师范大学,陕西省,41.9,66.9
75,南京工业大学,江苏省,41.9,58.4
79,北京工业大学,北京市,41.8,62.1
80,燕山大学,河北省,41.5,69
81,华南师范大学,广东省,41.4,60.4
82,河北工业大学,河北省,41.1,72.8
83,北京中医药大学,北京市,41,72.3
83,浙江师范大学,浙江省,41,57.1
83,汕头大学,广东省,41,59.5
86,长安大学,陕西省,40.9,68.9
87,沈阳药科大学,辽宁省,40.8,62.8
87,湘潭大学,湖南省,40.8,60.1
89,大连海事大学,辽宁省,40.6,66.3
90,浙江理工大学,浙江省,40.5,58.1
91,杭州师范大学,浙江省,40.4,52.6
91,大连医科大学,辽宁省,40.4,67.9
93,河北大学,河北省,40.3,66.5
94,杭州电子科技大学,浙江省,40.2,59.8
94,中央民族大学,北京市,40.2,66.9
96,安徽大学,安徽省,40,59.9
97,山西大学,山西省,39.4,60
97,宁波大学,浙江省,39.4,56.9
97,石家庄铁道大学,河北省,39.4,66.2
100,扬州大学,江苏省,39.3,53.8
101,湖北大学,湖北省,39.2,58.9
102,温州医科大学,浙江省,39,57.1
102,河北医科大学,河北省,39,64.6
104,南京信息工程大学,江苏省,38.8,59.2
104,深圳大学,广东省,38.8,54.3
104,首都师范大学,北京市,38.8,57.2
107,上海理工大学,上海市,38.7,59.1
108,太原理工大学,山西省,38.6,65
108,浙江工商大学,浙江省,38.6,60.6
110,华侨大学,福建省,38.5,59.2
110,湖南师范大学,湖南省,38.5,60.8
112,广西大学,广西壮族自治区,38.3,61.1
112,上海师范大学,上海市,38.3,49.8
114,上海中医药大学,上海市,38,57.5
114,东北林业大学,黑龙江省,38,61.9
114,武汉科技大学,湖北省,38,60.7
114,东北农业大学,黑龙江省,38,60.2
118,华南农业大学,广东省,37.9,52.2
118,辽宁大学,辽宁省,37.9,62.5
120,青岛大学,山东省,37.8,52.7
120,长沙理工大学,湖南省,37.8,59.9
120,福建医科大学,福建省,37.8,59.3
